date,trend,ticker
2025-12-07,35,MSFT
2025-12-14,31,MSFT
2025-12-21,22,MSFT
2025-12-28,23,MSFT
2026-01-04,30,MSFT
2026-01-11,35,MSFT
2026-01-18,39,MSFT
2026-01-25,100,MSFT
2026-02-01,85,MSFT
2026-02-08,58,MSFT
2026-02-15,48,MSFT
2026-02-22,61,MSFT
2026-03-01,53,MSFT
2026-03-08,44,MSFT
2026-03-15,77,MSFT
2026-03-22,63,MSFT
2026-03-29,56,MSFT
2026-04-05,55,MSFT
2026-04-12,72,MSFT
2026-04-19,59,MSFT
2026-04-26,79,MSFT
2026-05-03,41,MSFT
2026-05-10,38,MSFT
2025-05-11,49,AMZN
2025-05-18,33,AMZN
2025-05-25,30,AMZN
2025-06-01,33,AMZN
2025-06-08,34,AMZN
2025-06-15,28,AMZN
2025-06-22,36,AMZN
2025-06-29,30,AMZN
2025-07-06,34,AMZN
2025-07-13,35,AMZN
2025-07-20,37,AMZN
2025-07-27,71,AMZN
2025-08-03,56,AMZN
2025-08-10,52,AMZN
2025-08-17,46,AMZN
2025-08-24,41,AMZN
2025-08-31,40,AMZN
2025-09-07,43,AMZN
2025-09-14,42,AMZN
2025-09-21,49,AMZN
2025-09-28,43,AMZN
2025-10-05,46,AMZN
2025-10-12,46,AMZN
2025-10-19,58,AMZN
2025-10-26,100,AMZN
2025-11-02,65,AMZN
2025-11-09,46,AMZN
2025-11-16,49,AMZN
2025-11-23,38,AMZN
2025-11-30,40,AMZN
2025-12-07,35,AMZN
2025-12-14,40,AMZN
2025-12-21,30,AMZN
2025-12-28,27,AMZN
2026-01-04,44,AMZN
2026-01-11,42,AMZN
2026-01-18,36,AMZN
2026-01-25,50,AMZN
2026-02-01,84,AMZN
2026-02-08,58,AMZN
2026-02-15,51,AMZN
2026-02-22,46,AMZN
2026-03-01,48,AMZN
2026-03-08,39,AMZN
2026-03-15,73,AMZN
2026-03-22,39,AMZN
2026-03-29,39,AMZN
2026-04-05,48,AMZN
2026-04-12,57,AMZN
2026-04-19,49,AMZN
2026-04-26,71,AMZN
2026-05-03,42,AMZN
2026-05-10,34,AMZN
2025-05-11,68,GOOGL
2025-05-18,66,GOOGL
2025-05-25,59,GOOGL
2025-06-01,62,GOOGL
2025-06-08,62,GOOGL
2025-06-15,58,GOOGL
2025-06-22,63,GOOGL
2025-06-29,57,GOOGL
2025-07-06,59,GOOGL
2025-07-13,62,GOOGL
2025-07-20,75,GOOGL
2025-07-27,64,GOOGL
2025-08-03,66,GOOGL
2025-08-10,73,GOOGL
2025-08-17,70,GOOGL
2025-08-24,72,GOOGL
2025-08-31,84,GOOGL
2025-09-07,74,GOOGL
2025-09-14,77,GOOGL
2025-09-21,73,GOOGL
2025-09-28,73,GOOGL
2025-10-05,71,GOOGL
2025-10-12,67,GOOGL
2025-10-19,73,GOOGL
2025-10-26,89,GOOGL
2025-11-02,71,GOOGL
2025-11-09,71,GOOGL
2025-11-16,85,GOOGL
2025-11-23,85,GOOGL
2025-11-30,77,GOOGL
2025-12-07,73,GOOGL
2025-12-14,71,GOOGL
2025-12-21,54,GOOGL
2025-12-28,54,GOOGL
2026-01-04,70,GOOGL
2026-01-11,70,GOOGL
2026-01-18,74,GOOGL
2026-01-25,77,GOOGL
2026-02-01,90,GOOGL
2026-02-08,75,GOOGL
2026-02-15,68,GOOGL
2026-02-22,72,GOOGL
2026-03-01,70,GOOGL
2026-03-08,65,GOOGL
2026-03-15,100,GOOGL
2026-03-22,74,GOOGL
2026-03-29,69,GOOGL
2026-04-05,67,GOOGL
2026-04-12,71,GOOGL
2026-04-19,68,GOOGL
2026-04-26,75,GOOGL
2026-05-03,64,GOOGL
2026-05-10,63,GOOGL
2025-05-11,58,META
2025-05-18,54,META
2025-05-25,64,META
2025-06-01,54,META
2025-06-08,57,META
2025-06-15,56,META
2025-06-22,59,META
2025-06-29,56,META
2025-07-06,56,META
2025-07-13,54,META
2025-07-20,60,META
2025-07-27,68,META
2025-08-03,76,META
2025-08-10,85,META
2025-08-17,82,META
2025-08-24,75,META
2025-08-31,74,META
2025-09-07,77,META
2025-09-14,86,META
2025-09-21,87,META
2025-09-28,84,META
2025-10-05,83,META
2025-10-12,78,META
2025-10-19,84,META
2025-10-26,90,META
2025-11-02,85,META
2025-11-09,85,META
2025-11-16,91,META
2025-11-23,100,META
2025-11-30,93,META
2025-12-07,88,META
2025-12-14,90,META
2025-12-21,91,META
2025-12-28,84,META
2026-01-04,79,META
2026-01-11,81,META
2026-01-18,78,META
2026-01-25,88,META
2026-02-01,76,META
2026-02-08,75,META
2026-02-15,78,META
2026-02-22,81,META
2026-03-01,78,META
2026-03-08,81,META
2026-03-15,86,META
2026-03-22,90,META
2026-03-29,90,META
2026-04-05,92,META
2026-04-12,98,META
2026-04-19,91,META
2026-04-26,85,META
2026-05-03,69,META
2026-05-10,67,META
2025-05-11,46,AMD
2025-05-18,43,AMD
2025-05-25,43,AMD
2025-06-01,45,AMD
2025-06-08,45,AMD
2025-06-15,48,AMD
2025-06-22,47,AMD
2025-06-29,45,AMD
2025-07-06,49,AMD
2025-07-13,49,AMD
2025-07-20,50,AMD
2025-07-27,56,AMD
2025-08-03,75,AMD
2025-08-10,72,AMD
2025-08-17,68,AMD
2025-08-24,66,AMD
2025-08-31,69,AMD
2025-09-07,65,AMD
2025-09-14,61,AMD
2025-09-21,64,AMD
2025-09-28,63,AMD
2025-10-05,100,AMD
2025-10-12,77,AMD
2025-10-19,69,AMD
2025-10-26,69,AMD
2025-11-02,71,AMD
2025-11-09,70,AMD
2025-11-16,71,AMD
2025-11-23,78,AMD
2025-11-30,72,AMD
