date,trend,ticker
2025-03-09,32,MSFT
2025-03-16,26,MSFT
2025-03-23,23,MSFT
2025-03-30,39,MSFT
2025-04-06,46,MSFT
2025-04-13,27,MSFT
2025-04-20,27,MSFT
2025-04-27,55,MSFT
2025-05-04,31,MSFT
2025-05-11,36,MSFT
2025-05-18,26,MSFT
2025-05-25,24,MSFT
2025-06-01,30,MSFT
2025-06-08,30,MSFT
2025-06-15,27,MSFT
2025-06-22,35,MSFT
2025-06-29,30,MSFT
2025-07-06,31,MSFT
2025-07-13,31,MSFT
2025-07-20,32,MSFT
2025-07-27,72,MSFT
2025-08-03,49,MSFT
2025-08-10,52,MSFT
2025-08-17,49,MSFT
2025-08-24,42,MSFT
2025-08-31,40,MSFT
2025-09-07,45,MSFT
2025-09-14,40,MSFT
2025-09-21,37,MSFT
2025-09-28,37,MSFT
2025-10-05,36,MSFT
2025-10-12,33,MSFT
2025-10-19,34,MSFT
2025-10-26,70,MSFT
2025-11-02,42,MSFT
2025-11-09,37,MSFT
2025-11-16,42,MSFT
2025-11-23,32,MSFT
2025-11-30,33,MSFT
2025-12-07,34,MSFT
2025-12-14,31,MSFT
2025-12-21,22,MSFT
2025-12-28,24,MSFT
2026-01-04,31,MSFT
2026-01-11,35,MSFT
2026-01-18,39,MSFT
2026-01-25,100,MSFT
2026-02-01,88,MSFT
2026-02-08,60,MSFT
2026-02-15,50,MSFT
2026-02-22,64,MSFT
2026-03-01,54,MSFT
2026-03-08,47,MSFT
2026-03-15,77,MSFT
2026-03-22,63,MSFT
2026-03-29,58,MSFT
2026-04-05,59,MSFT
2026-04-12,73,MSFT
2026-04-19,61,MSFT
2026-04-26,71,MSFT
2026-05-03,41,MSFT
2026-05-10,12,MSFT
2024-12-29,25,AMZN
2025-01-05,29,AMZN
2025-01-12,29,AMZN
2025-01-19,34,AMZN
2025-01-26,43,AMZN
2025-02-02,65,AMZN
2025-02-09,36,AMZN
2025-02-16,31,AMZN
2025-02-23,40,AMZN
2025-03-02,43,AMZN
2025-03-09,42,AMZN
2025-03-16,35,AMZN
2025-03-23,33,AMZN
2025-03-30,62,AMZN
2025-04-06,68,AMZN
2025-04-13,36,AMZN
2025-04-20,46,AMZN
2025-04-27,62,AMZN
2025-05-04,37,AMZN
2025-05-11,51,AMZN
2025-05-18,34,AMZN
2025-05-25,30,AMZN
2025-06-01,32,AMZN
2025-06-08,34,AMZN
2025-06-15,28,AMZN
2025-06-22,35,AMZN
2025-06-29,30,AMZN
2025-07-06,34,AMZN
2025-07-13,33,AMZN
2025-07-20,37,AMZN
2025-07-27,71,AMZN
2025-08-03,53,AMZN
2025-08-10,53,AMZN
2025-08-17,47,AMZN
2025-08-24,42,AMZN
2025-08-31,41,AMZN
2025-09-07,42,AMZN
2025-09-14,43,AMZN
2025-09-21,47,AMZN
2025-09-28,44,AMZN
2025-10-05,44,AMZN
2025-10-12,44,AMZN
2025-10-19,57,AMZN
2025-10-26,100,AMZN
2025-11-02,66,AMZN
2025-11-09,45,AMZN
2025-11-16,48,AMZN
2025-11-23,38,AMZN
2025-11-30,40,AMZN
2025-12-07,35,AMZN
2025-12-14,39,AMZN
2025-12-21,31,AMZN
2025-12-28,28,AMZN
2026-01-04,43,AMZN
2026-01-11,41,AMZN
2026-01-18,38,AMZN
2026-01-25,48,AMZN
2026-02-01,81,AMZN
2026-02-08,60,AMZN
2026-02-15,50,AMZN
2026-02-22,48,AMZN
2026-03-01,47,AMZN
2026-03-08,38,AMZN
2026-03-15,75,AMZN
2026-03-22,39,AMZN
2026-03-29,38,AMZN
2026-04-05,47,AMZN
2026-04-12,56,AMZN
2026-04-19,53,AMZN
2026-04-26,62,AMZN
2026-05-03,42,AMZN
2026-05-10,9,AMZN
2024-12-29,49,GOOGL
2025-01-05,55,GOOGL
2025-01-12,59,GOOGL
2025-01-19,59,GOOGL
2025-01-26,63,GOOGL
2025-02-02,76,GOOGL
2025-02-09,64,GOOGL
2025-02-16,57,GOOGL
2025-02-23,64,GOOGL
2025-03-02,61,GOOGL
2025-03-09,62,GOOGL
2025-03-16,63,GOOGL
2025-03-23,61,GOOGL
2025-03-30,66,GOOGL
2025-04-06,65,GOOGL
2025-04-13,60,GOOGL
2025-04-20,68,GOOGL
2025-04-27,62,GOOGL
2025-05-04,68,GOOGL
2025-05-11,68,GOOGL
2025-05-18,66,GOOGL
2025-05-25,57,GOOGL
2025-06-01,63,GOOGL
2025-06-08,61,GOOGL
2025-06-15,60,GOOGL
2025-06-22,62,GOOGL
2025-06-29,56,GOOGL
2025-07-06,57,GOOGL
2025-07-13,60,GOOGL
2025-07-20,73,GOOGL
2025-07-27,63,GOOGL
2025-08-03,69,GOOGL
2025-08-10,72,GOOGL
2025-08-17,73,GOOGL
2025-08-24,66,GOOGL
2025-08-31,82,GOOGL
2025-09-07,75,GOOGL
2025-09-14,76,GOOGL
2025-09-21,70,GOOGL
2025-09-28,69,GOOGL
2025-10-05,69,GOOGL
2025-10-12,68,GOOGL
2025-10-19,71,GOOGL
2025-10-26,82,GOOGL
2025-11-02,70,GOOGL
2025-11-09,71,GOOGL
2025-11-16,83,GOOGL
2025-11-23,80,GOOGL
2025-11-30,74,GOOGL
2025-12-07,73,GOOGL
2025-12-14,71,GOOGL
2025-12-21,54,GOOGL
2025-12-28,54,GOOGL
2026-01-04,70,GOOGL
2026-01-11,70,GOOGL
2026-01-18,71,GOOGL
2026-01-25,75,GOOGL
2026-02-01,87,GOOGL
2026-02-08,71,GOOGL
2026-02-15,66,GOOGL
2026-02-22,74,GOOGL
2026-03-01,71,GOOGL
2026-03-08,64,GOOGL
2026-03-15,100,GOOGL
2026-03-22,73,GOOGL
