date,ticker,trend
2025-09-28 00:00:00,AMZN,43
2025-10-05 00:00:00,AMZN,46
2025-10-12 00:00:00,AMZN,46
2025-10-19 00:00:00,AMZN,58
2025-10-26 00:00:00,AMZN,100
2025-11-02 00:00:00,AMZN,65
2025-11-09 00:00:00,AMZN,46
2025-11-16 00:00:00,AMZN,49
2025-11-23 00:00:00,AMZN,38
2025-11-30 00:00:00,AMZN,40
2025-12-07 00:00:00,AMZN,35
2025-12-14 00:00:00,AMZN,40
2025-12-21 00:00:00,AMZN,30
2025-12-28 00:00:00,AMZN,27
2026-01-04 00:00:00,AMZN,44
2026-01-11 00:00:00,AMZN,42
2026-01-18 00:00:00,AMZN,36
2026-01-25 00:00:00,AMZN,50
2026-02-01 00:00:00,AMZN,84
2026-02-08 00:00:00,AMZN,58
2026-02-15 00:00:00,AMZN,51
2026-02-22 00:00:00,AMZN,46
2026-03-01 00:00:00,AMZN,48
2026-03-08 00:00:00,AMZN,39
2026-03-15 00:00:00,AMZN,73
2026-03-22 00:00:00,AMZN,39
2026-03-29 00:00:00,AMZN,39
2026-04-05 00:00:00,AMZN,48
2026-04-12 00:00:00,AMZN,57
2026-04-19 00:00:00,AMZN,49
2026-04-26 00:00:00,AMZN,71
2026-05-03 00:00:00,AMZN,42
2026-05-10 00:00:00,AMZN,34
2025-05-11 00:00:00,GOOGL,68
2025-05-18 00:00:00,GOOGL,66
2025-05-25 00:00:00,GOOGL,59
2025-06-01 00:00:00,GOOGL,62
2025-06-08 00:00:00,GOOGL,62
2025-06-15 00:00:00,GOOGL,58
2025-06-22 00:00:00,GOOGL,63
2025-06-29 00:00:00,GOOGL,57
2025-07-06 00:00:00,GOOGL,59
2025-07-13 00:00:00,GOOGL,62
2025-07-20 00:00:00,GOOGL,75
2025-07-27 00:00:00,GOOGL,64
2025-08-03 00:00:00,GOOGL,66
2025-08-10 00:00:00,GOOGL,73
2025-08-17 00:00:00,GOOGL,70
2025-08-24 00:00:00,GOOGL,72
2025-08-31 00:00:00,GOOGL,84
2025-09-07 00:00:00,GOOGL,74
2025-09-14 00:00:00,GOOGL,77
2025-09-21 00:00:00,GOOGL,73
2025-09-28 00:00:00,GOOGL,73
2025-10-05 00:00:00,GOOGL,71
2025-10-12 00:00:00,GOOGL,67
2025-10-19 00:00:00,GOOGL,73
2025-10-26 00:00:00,GOOGL,89
2025-11-02 00:00:00,GOOGL,71
2025-11-09 00:00:00,GOOGL,71
2025-11-16 00:00:00,GOOGL,85
2025-11-23 00:00:00,GOOGL,85
2025-11-30 00:00:00,GOOGL,77
2025-12-07 00:00:00,GOOGL,73
2025-12-14 00:00:00,GOOGL,71
2025-12-21 00:00:00,GOOGL,54
2025-12-28 00:00:00,GOOGL,54
2026-01-04 00:00:00,GOOGL,70
2026-01-11 00:00:00,GOOGL,70
2026-01-18 00:00:00,GOOGL,74
2026-01-25 00:00:00,GOOGL,77
2026-02-01 00:00:00,GOOGL,90
2026-02-08 00:00:00,GOOGL,75
2026-02-15 00:00:00,GOOGL,68
2026-02-22 00:00:00,GOOGL,72
2026-03-01 00:00:00,GOOGL,70
2026-03-08 00:00:00,GOOGL,65
2026-03-15 00:00:00,GOOGL,100
2026-03-22 00:00:00,GOOGL,74
2026-03-29 00:00:00,GOOGL,69
2026-04-05 00:00:00,GOOGL,67
2026-04-12 00:00:00,GOOGL,71
2026-04-19 00:00:00,GOOGL,68
2026-04-26 00:00:00,GOOGL,75
2026-05-03 00:00:00,GOOGL,64
2026-05-10 00:00:00,GOOGL,63
2025-05-11 00:00:00,META,58
2025-05-18 00:00:00,META,54
2025-05-25 00:00:00,META,64
2025-06-01 00:00:00,META,54
2025-06-08 00:00:00,META,57
2025-06-15 00:00:00,META,56
2025-06-22 00:00:00,META,59
2025-06-29 00:00:00,META,56
2025-07-06 00:00:00,META,56
2025-07-13 00:00:00,META,54
2025-07-20 00:00:00,META,60
2025-07-27 00:00:00,META,68
2025-08-03 00:00:00,META,76
2025-08-10 00:00:00,META,85
2025-08-17 00:00:00,META,82
2025-08-24 00:00:00,META,75
2025-08-31 00:00:00,META,74
2025-09-07 00:00:00,META,77
2025-09-14 00:00:00,META,86
2025-09-21 00:00:00,META,87
2025-09-28 00:00:00,META,84
2025-10-05 00:00:00,META,83
2025-10-12 00:00:00,META,78
2025-10-19 00:00:00,META,84
2025-10-26 00:00:00,META,90
2025-11-02 00:00:00,META,85
2025-11-09 00:00:00,META,85
2025-11-16 00:00:00,META,91
2025-11-23 00:00:00,META,100
2025-11-30 00:00:00,META,93
2025-12-07 00:00:00,META,88
2025-12-14 00:00:00,META,90
2025-12-21 00:00:00,META,91
2025-12-28 00:00:00,META,84
2026-01-04 00:00:00,META,79
2026-01-11 00:00:00,META,81
2026-01-18 00:00:00,META,78
2026-01-25 00:00:00,META,88
2026-02-01 00:00:00,META,76
2026-02-08 00:00:00,META,75
2026-02-15 00:00:00,META,78
2026-02-22 00:00:00,META,81
2026-03-01 00:00:00,META,78
2026-03-08 00:00:00,META,81
2026-03-15 00:00:00,META,86
2026-03-22 00:00:00,META,90
2026-03-29 00:00:00,META,90
2026-04-05 00:00:00,META,92
2026-04-12 00:00:00,META,98
2026-04-19 00:00:00,META,91
2026-04-26 00:00:00,META,85
2026-05-03 00:00:00,META,69
2026-05-10 00:00:00,META,67
2025-05-11 00:00:00,AMD,46
2025-05-18 00:00:00,AMD,43
2025-05-25 00:00:00,AMD,43
2025-06-01 00:00:00,AMD,45
2025-06-08 00:00:00,AMD,45
2025-06-15 00:00:00,AMD,48
2025-06-22 00:00:00,AMD,47
2025-06-29 00:00:00,AMD,45
2025-07-06 00:00:00,AMD,49
2025-07-13 00:00:00,AMD,49
2025-07-20 00:00:00,AMD,50
2025-07-27 00:00:00,AMD,56
2025-08-03 00:00:00,AMD,75
2025-08-10 00:00:00,AMD,72
2025-08-17 00:00:00,AMD,68
2025-08-24 00:00:00,AMD,66
2025-08-31 00:00:00,AMD,69
2025-09-07 00:00:00,AMD,65
2025-09-14 00:00:00,AMD,61
2025-09-21 00:00:00,AMD,64
2025-09-28 00:00:00,AMD,63
2025-10-05 00:00:00,AMD,100
2025-10-12 00:00:00,AMD,77
2025-10-19 00:00:00,AMD,69
2025-10-26 00:00:00,AMD,69
2025-11-02 00:00:00,AMD,71
2025-11-09 00:00:00,AMD,70
2025-11-16 00:00:00,AMD,71
